Date,Open,High,Low,Close,Volume,feature1,feature2,feature3,feature4,feature5
8/16/2023,101.05,102.5,100.5,101.28,1007952,0.0,0.0,0.0,0.0,0.0
8/17/2023,100.2,101.8,99.95,101.33,1319849,0.0,0.0,0.0,0.0,0.0
8/18/2023,101.25,102.45,101.05,101.25,1530212,0.0,0.0,0.0,0.0,0.0
8/21/2023,100.19,101.0,98.01,98.56,1396037,0.0,0.0,0.0,0.0,0.0
8/22/2023,98.29,99.32,97.6,98.56,1901474,0.0,0.0,0.0,0.0,0.0
8/23/2023,99.4,100.5,97.5,99.79,4511576,0.0,0.0,0.0,0.0,0.0
8/24/2023,99.25,100.75,99.25,99.9,10046060,0.0,0.0,0.0,0.0,0.0
8/25/2023,99.5,100.1,99.4,99.77,1378150,0.0,0.0,0.0,0.0,0.0
8/28/2023,99.06,99.88,98.25,98.93,808711,0.0,0.0,0.0,0.0,0.0
8/29/2023,98.0,98.84,96.15,97.59,1417854,0.0,0.0,0.0,0.0,0.0
8/30/2023,97.6,98.25,95.35,97.87,2201296,0.0,0.0,0.0,0.0,0.0
8/31/2023,99.0,99.0,94.0,96.14,2999070,0.0,0.0,0.0,0.0,0.0
9/1/2023,96.0,96.9,94.1,95.87,913660,0.0,0.0,0.0,0.0,0.0
9/4/2023,97.0,98.99,95.5,96.31,347198,0.0,0.0,0.0,0.0,0.0
9/5/2023,96.0,98.5,96.0,97.65,1186285,0.0,0.0,0.0,0.0,0.0
9/6/2023,97.96,98.5,97.21,97.64,1227413,0.0,0.0,0.0,0.0,0.0
9/7/2023,98.47,98.5,97.1,97.48,1186121,0.0,0.0,0.0,0.0,0.0
9/8/2023,97.99,97.99,96.42,97.31,3200703,0.0,0.0,0.0,0.0,0.0
9/11/2023,97.5,98.4,96.3,96.77,2835937,0.0,0.0,0.0,0.0,0.0
9/12/2023,97.0,97.63,95.9,96.25,1456006,0.0,0.0,0.0,0.0,0.0
9/13/2023,96.3,96.6,95.75,95.86,893778,0.0,0.0,0.0,0.0,0.0
9/14/2023,96.65,96.65,95.45,95.79,1058498,0.0,0.0,0.0,0.0,0.0
9/15/2023,96.5,96.5,94.55,95.14,4841767,0.0,0.0,0.0,0.0,0.0
9/18/2023,95.97,96.5,94.95,95.55,889980,0.0,0.0,0.0,0.0,0.0
9/19/2023,96.0,96.75,95.5,96.02,1715578,0.0,0.0,0.0,0.0,0.0
9/20/2023,96.8,96.8,95.45,95.51,882935,0.0,0.0,0.0,0.0,0.0
9/21/2023,95.5,96.75,95.01,96.26,3144597,0.0,0.0,0.0,0.0,0.0
9/22/2023,96.5,96.69,95.76,96.28,1863813,0.0,0.0,0.0,0.0,0.0
9/25/2023,96.6,96.6,94.25,94.43,2349224,0.0,0.0,0.0,0.0,0.0
9/26/2023,94.35,94.35,92.02,92.48,2075200,0.0,0.0,0.0,0.0,0.0
9/27/2023,92.0,92.5,90.41,90.51,1839908,0.0,0.0,0.0,0.0,0.0
9/28/2023,90.98,90.99,89.7,90.44,1735704,0.0,0.0,0.0,0.0,0.0
10/2/2023,90.52,91.38,89.56,90.03,473314,0.0,0.0,0.0,0.0,0.0
10/3/2023,90.0,90.49,89.55,90.01,2027775,0.0,0.0,0.0,0.0,0.0
10/4/2023,90.11,95.6,90.11,95.13,6427190,0.0,0.0,0.0,0.0,0.0
10/5/2023,95.89,96.95,95.25,96.35,2769647,0.0,0.0,0.0,0.0,0.0
10/6/2023,96.0,96.84,94.55,94.93,1659892,0.0,0.0,0.0,0.0,0.0
10/9/2023,94.13,95.3,93.0,93.87,884303,0.0,0.0,0.0,0.0,0.0
10/10/2023,93.5,94.93,93.3,94.05,1548916,0.0,0.0,0.0,0.0,0.0
10/11/2023,94.05,94.9,93.81,94.75,1574495,0.0,0.0,0.0,0.0,0.0
10/12/2023,94.49,95.7,94.3,95.34,6603532,0.0,0.0,0.0,0.0,0.0
10/13/2023,96.0,98.1,95.55,97.19,4567050,0.0,0.0,0.0,0.0,0.0
10/16/2023,98.7,99.75,96.9,97.07,2261851,0.0,0.0,0.0,0.0,0.0
